CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
ASTAnnotation.java,1,19.0,22.0,1.0,1.0,5.0,7.0,4.0,3.0,3.0,3.0,0.5
ASTArrayLiteral.java,1,8.0,57.0,0.0,8.0,2.0,15.0,1.0,9.0,1.0,5.0,0.7
ASTIdentifier.java,1,11.0,46.0,0.0,2.0,2.0,15.0,1.0,8.0,1.0,7.0,0.8
ASTIdentifierAccess.java,1,13.0,90.0,2.0,14.0,3.0,26.0,3.0,13.0,1.0,7.0,0.826086957
ASTJexlLambda.java,1,5.0,27.0,1.0,5.0,2.0,8.0,2.0,5.0,1.0,3.0,1.0
ASTJexlScript.java,1,53.0,87.0,10.0,12.0,9.0,21.0,12.0,13.0,5.0,9.0,0.6521739129999999
ASTJxltLiteral.java,1,8.0,22.0,0.0,0.0,2.0,8.0,1.0,5.0,1.0,5.0,0.666666667
ASTMapLiteral.java,1,14.0,51.0,4.0,4.0,4.0,13.0,4.0,6.0,1.0,5.0,0.7
ASTNumberLiteral.java,1,14.0,38.0,0.0,0.0,4.0,12.0,2.0,8.0,2.0,8.0,0.666666667
ASTReferenceExpression.java,1,5.0,9.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0
ASTSetLiteral.java,1,11.0,45.0,0.0,6.0,3.0,12.0,2.0,7.0,2.0,4.0,0.444444444
ASTStringLiteral.java,1,8.0,24.0,0.0,0.0,2.0,9.0,1.0,6.0,1.0,6.0,1.0
ASTVar.java,1,5.0,9.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0
AbstractExecutor.java,1,32.0,112.0,11.0,21.0,9.0,24.0,13.0,19.0,4.0,12.0,0.648648649
ArrayBuilder.java,4,22.0,218.0,10.0,28.0,7.0,48.0,8.0,16.0,0.0,5.0,0.870967742
ArrayIterator.java,1,45.0,45.0,3.0,5.0,6.0,10.0,4.0,4.0,1.0,3.0,0.8888888890000001
ArrayListWrapper.java,2,27.0,62.0,6.0,8.0,4.0,16.0,4.0,9.0,0.0,6.0,0.684210526
BooleanGetExecutor.java,2,15.0,69.0,9.0,11.0,5.0,14.0,9.0,6.0,1.0,4.0,0.588235294
ClassMap.java,3,20.0,344.0,6.0,42.0,5.0,77.0,5.0,30.0,0.0,11.0,0.795454545
Closure.java,2,35.0,180.0,16.0,18.0,7.0,37.0,17.0,10.0,2.0,8.0,0.55
ConstructorMethod.java,2,35.0,115.0,9.0,15.0,12.0,33.0,9.0,10.0,1.0,6.0,0.41666666700000005
Debugger.java,1,209.0,1589.0,35.0,121.0,39.0,323.0,36.0,132.0,5.0,85.0,0.462882096
DuckGetExecutor.java,2,10.0,92.0,8.0,10.0,4.0,16.0,7.0,7.0,0.0,5.0,0.41176470600000004
DuckSetExecutor.java,2,11.0,123.0,7.0,13.0,6.0,19.0,6.0,9.0,0.0,5.0,0.7222222220000001
Engine.java,2,139.0,849.0,35.0,115.0,35.0,178.0,35.0,72.0,4.0,28.0,0.7173913040000001
EnumerationIterator.java,1,1.0,14.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0
FieldGetExecutor.java,1,7.0,52.0,4.0,6.0,3.0,13.0,4.0,7.0,0.0,6.0,0.41666666700000005
FieldSetExecutor.java,1,3.0,83.0,6.0,14.0,2.0,20.0,6.0,10.0,0.0,6.0,0.473684211
IndexedType.java,1,47.0,284.0,19.0,27.0,8.0,54.0,19.0,12.0,0.0,8.0,0.564102564
IntegerRange.java,1,18.0,222.0,5.0,27.0,5.0,53.0,6.0,28.0,1.0,17.0,0.820895522
Interpreter.java,3,528.0,3577.0,87.0,443.0,106.0,746.0,88.0,264.0,4.0,83.0,0.7970401690000001
InterpreterBase.java,2,78.0,296.0,15.0,45.0,19.0,78.0,12.0,34.0,0.0,16.0,0.595744681
Introspector.java,3,94.0,391.0,19.0,43.0,18.0,95.0,18.0,28.0,2.0,13.0,0.679245283
JavaccError.java,0,,,,,,,,,,,
JexlArithmetic.java,4,441.0,1852.0,127.0,429.0,93.0,414.0,107.0,230.0,5.0,54.0,0.762711864
JexlBuilder.java,1,28.0,146.0,2.0,0.0,9.0,50.0,6.0,26.0,5.0,26.0,0.694444444
JexlContext.java,0,,,,,,,,,,,
JexlEngine.java,1,58.0,226.0,6.0,14.0,12.0,48.0,9.0,21.0,3.0,17.0,0.696969697
JexlException.java,1,96.0,303.0,15.0,31.0,25.0,71.0,18.0,23.0,3.0,15.0,0.39436619700000003
JexlExpression.java,0,,,,,,,,,,,
JexlInfo.java,1,1.0,119.0,2.0,6.0,0.0,32.0,2.0,10.0,0.0,8.0,0.454545455
JexlMethod.java,0,,,,,,,,,,,
JexlNode.java,2,34.0,159.0,11.0,29.0,9.0,42.0,10.0,19.0,1.0,8.0,0.666666667
JexlOperator.java,1,0.0,505.0,0.0,0.0,0.0,52.0,0.0,7.0,0.0,7.0,1.0
JexlParser.java,2,42.0,298.0,5.0,33.0,14.0,71.0,10.0,28.0,5.0,14.0,0.870967742
JexlPropertyGet.java,0,,,,,,,,,,,
JexlPropertySet.java,0,,,,,,,,,,,
JexlSandbox.java,1,32.0,160.0,4.0,12.0,7.0,34.0,7.0,17.0,4.0,12.0,0.610169492
JexlScript.java,0,,,,,,,,,,,
JexlScriptEngine.java,1,88.0,76.0,12.0,6.0,21.0,20.0,12.0,7.0,4.0,6.0,0.575
JexlScriptEngineFactory.java,1,4.0,240.0,3.0,19.0,2.0,42.0,3.0,21.0,0.0,13.0,0.923076923
JexlUberspect.java,2,0.0,67.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.764705882
JxltEngine.java,1,0.0,47.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,1.0
ListGetExecutor.java,2,0.0,111.0,4.0,14.0,0.0,24.0,4.0,11.0,0.0,6.0,0.8235294120000001
ListSetExecutor.java,2,0.0,134.0,3.0,15.0,0.0,29.0,3.0,12.0,0.0,6.0,0.9411764709999999
LongRange.java,1,18.0,237.0,5.0,27.0,5.0,53.0,6.0,28.0,1.0,17.0,0.774647887
Main.java,3,98.0,0.0,8.0,0.0,20.0,0.0,7.0,0.0,3.0,0.0,0.0
MapBuilder.java,1,0.0,19.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,1.0
MapContext.java,1,0.0,37.0,0.0,2.0,0.0,11.0,0.0,7.0,0.0,6.0,1.0
MapGetExecutor.java,1,0.0,80.0,3.0,15.0,0.0,17.0,3.0,12.0,0.0,6.0,0.857142857
MapSetExecutor.java,1,2.0,88.0,7.0,11.0,0.0,18.0,6.0,9.0,0.0,6.0,0.7857142859999999
MethodExecutor.java,3,9.0,215.0,3.0,31.0,6.0,46.0,3.0,19.0,0.0,5.0,0.875
MethodKey.java,4,124.0,518.0,70.0,116.0,22.0,107.0,55.0,55.0,2.0,15.0,0.758754864
NoJexl.java,0,,,,,,,,,,,
NumberParser.java,3,35.0,257.0,5.0,32.0,10.0,66.0,7.0,23.0,2.0,8.0,0.75862069
ObjectContext.java,1,5.0,41.0,3.0,3.0,1.0,10.0,2.0,6.0,0.0,5.0,0.857142857
Operators.java,7,182.0,584.0,24.0,73.0,29.0,128.0,22.0,39.0,0.0,9.0,0.724489796
ParseException.java,1,25.0,37.0,0.0,0.0,4.0,12.0,2.0,4.0,2.0,4.0,0.0
ParserVisitor.java,1,19.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,
Permissions.java,4,51.0,167.0,17.0,33.0,16.0,54.0,16.0,15.0,1.0,5.0,0.591836735
PropertyGetExecutor.java,2,13.0,117.0,6.0,12.0,7.0,24.0,6.0,10.0,0.0,7.0,0.6
PropertySetExecutor.java,3,11.0,230.0,9.0,37.0,7.0,46.0,9.0,22.0,0.0,8.0,0.8611111109999999
SandboxUberspect.java,2,36.0,139.0,10.0,20.0,9.0,32.0,13.0,14.0,3.0,9.0,0.7692307690000001
Scope.java,2,58.0,406.0,22.0,62.0,7.0,88.0,21.0,35.0,3.0,11.0,0.712643678
Script.java,1,35.0,223.0,13.0,17.0,10.0,50.0,14.0,22.0,2.0,19.0,0.571428571
SetBuilder.java,1,0.0,18.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,1.0
SimpleNode.java,1,97.0,64.0,11.0,5.0,20.0,19.0,12.0,13.0,6.0,11.0,0.333333333
SoftCache.java,1,3.0,155.0,0.0,14.0,1.0,33.0,1.0,13.0,1.0,6.0,0.45833333299999995
StringParser.java,5,58.0,264.0,21.0,45.0,21.0,59.0,19.0,24.0,0.0,6.0,0.803030303
TemplateDebugger.java,3,86.0,398.0,27.0,45.0,19.0,91.0,27.0,24.0,3.0,10.0,0.611111111
TemplateEngine.java,2,75.0,754.0,18.0,85.0,22.0,194.0,18.0,48.0,1.0,11.0,0.781725888
TemplateInterpreter.java,3,41.0,243.0,10.0,28.0,8.0,57.0,10.0,17.0,0.0,8.0,0.8684210529999999
TemplateScript.java,2,26.0,400.0,7.0,31.0,4.0,74.0,8.0,23.0,1.0,11.0,0.8857142859999999
TokenMgrError.java,2,194.0,0.0,18.0,0.0,45.0,0.0,21.0,0.0,8.0,0.0,0.0
Uberspect.java,3,83.0,550.0,16.0,79.0,16.0,124.0,18.0,55.0,4.0,17.0,0.8059701490000001
